date;city;duration;shape;location
01/01/2009;campbellsville;3600;OTRA;(37.3433333,-85.3419444)
23/04/2014;mount vernon;600;OTRA;(48.4213889,-122.3327778)
27/06/2008;elko;600;OTRA;(40.8325,-115.7622222)
27/12/2008;st. cloud;3600;TRIANGULAR;(45.5608333,-94.1622222)
23/08/2008;orlando;120;OTRA;(28.5380556,-81.3794444)
31/08/1999;elko;60;OTRA;(40.8325,-115.7622222)
27/06/2012;las vegas;900;OTRA;(36.175,-115.1363889)
23/06/2005;italy;30;OTRA;(32.1838889,-96.8844444)
28/02/2012;chaplin;1184;TRIANGULAR;(41.7947222,-72.1277778)
16/05/2010;rockford;1080;OTRA;(42.2711111,-89.0938889)
03/06/2013;indiana;20;TRIANGULAR;(40.6213889,-79.1527778)
26/05/2010;miami;600;OTRA;(25.7738889,-80.1938889)
28/02/1990;san clemente;1800;OTRA;(33.4269444,-117.6111111)
21/05/2009;el paso;1800;TRIANGULAR;(31.7586111,-106.4863889)
01/06/1996;north providence;16;OTRA;(41.85,-71.4666667)
13/08/2007;grand island;15;OTRA;(40.925,-98.3416667)
18/07/2006;lapeer;30;OTRA;(43.0513889,-83.3188889)
03/08/2008;clinton;1200;OTRA;(40.6366667,-74.9102778)
30/06/2011;grand rapids;300;OTRA;(47.2372222,-93.53)
02/05/2006;tacoma;7;TRIANGULAR;(47.2530556,-122.4430556)
18/03/2010;haylow;120;CIRCULAR;(30.8258333,-82.9052778)
01/08/2008;park ridge;60;OTRA;(42.0111111,-87.8405556)
01/05/2012;sumter;40;OTRA;(33.9202778,-80.3416667)
12/08/2011;barton;300;TRIANGULAR;(44.7480556,-72.1766667)
12/06/2009;butler;720;OTRA;(38.2538,-94.3356)
02/01/2009;clayton;180;OTRA;(35.6505556,-78.4566667)
11/07/2008;noblesville;7200;OTRA;(40.0455556,-86.0086111)
03/06/2011;cuba;300;OTRA;(42.2175,-78.2755556)
24/09/2013;columbus;900;OTRA;(39.9611111,-82.9988889)
05/11/2009;plant city;120;OTRA;(28.0183333,-82.1130556)
04/09/2011;coppell;5;OTRA;(32.9544444,-97.0147222)
22/04/2007;new ipswich;180;OTRA;(42.7480556,-71.8547222)
05/04/2011;lowry city;9;OTRA;(38.14,-93.7266667)
05/07/2011;phoenix;180;OTRA;(33.4483333,-112.0733333)
08/07/2006;concord;10;CIRCULAR;(33.0911111,-84.4375)
15/11/2007;lafayette;10;OTRA;(30.2238889,-92.0197222)
19/02/2011;milwaukee;1800;TRIANGULAR;(43.0388889,-87.9063889)
06/04/2010;columbus;12;TRIANGULAR;(39.9611111,-82.9988889)
11/11/2007;san antonio;1800;OTRA;(29.4238889,-98.4933333)
12/10/2007;rogers;172800;OTRA;(36.3319444,-94.1183333)
09/12/2010;charlottesville;7200;OTRA;(38.0291667,-78.4769444)
20/04/2011;fredericksburg;300;OTRA;(30.275,-98.8716667)
24/04/2009;dubuque;35;OTRA;(42.5005556,-90.6644444)
31/10/2008;hialeah;30;OTRA;(25.8572222,-80.2783333)
